日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2020-07-22,'300743,天地数码,16.87,17.21,16.76,17.08,16.97,-0.1,-0.5893,1351950,23029586.0
2020-07-21,'300743,天地数码,16.97,17.22,16.68,17.19,17.02,-0.05,-0.2938,970257,16454609.37
2020-07-20,'300743,天地数码,17.02,17.05,16.12,16.35,16.26,0.76,4.674,1622500,27080286.0
2020-07-17,'300743,天地数码,16.26,16.5,16.05,16.22,16.33,-0.07,-0.4287,1201538,19530323.9
2020-07-16,'300743,天地数码,16.33,17.21,16.17,17.07,17.03,-0.7,-4.1104,1761300,29563711.0
2020-07-15,'300743,天地数码,17.03,17.79,17.0,17.7,17.65,-0.62,-3.5127,1917750,33153447.0
2020-07-14,'300743,天地数码,17.65,18.01,17.25,17.77,17.74,-0.09,-0.5073,2250603,39679744.25
2020-07-13,'300743,天地数码,17.74,17.78,17.22,17.22,17.22,0.52,3.0197,2312915,40800424.95
2020-07-10,'300743,天地数码,17.22,17.98,17.19,17.7,17.73,-0.51,-2.8765,3057264,53606741.8
2020-07-09,'300743,天地数码,17.73,17.81,17.34,17.48,17.32,0.41,2.3672,3011614,52968709.32
2020-07-08,'300743,天地数码,17.32,17.35,16.96,17.0,17.14,0.18,1.0502,2728495,46805915.08
2020-07-07,'300743,天地数码,17.14,17.38,16.71,17.05,16.93,0.21,1.2404,3316059,56623479.07
2020-07-06,'300743,天地数码,16.93,16.99,16.38,16.45,16.4,0.53,3.2317,3129028,52266049.7
2020-07-03,'300743,天地数码,16.4,16.42,16.13,16.2,16.26,0.14,0.861,1888867,30734167.81
2020-07-02,'300743,天地数码,16.26,16.5,16.12,16.24,16.2,0.06,0.3704,2254600,36715579.44
2020-07-01,'300743,天地数码,16.4,16.93,16.21,16.67,16.89,-0.49,-2.9011,3199603,52908052.21
2020-06-30,'300743,天地数码,16.89,17.12,16.44,16.6,16.94,-0.05,-0.2952,3933800,65660540.0
2020-06-29,'300743,天地数码,16.94,18.88,16.9,18.68,17.94,-1.0,-5.5741,6202671,109158269.45
2020-06-24,'300743,天地数码,17.94,19.06,17.51,19.04,17.33,0.61,3.5199,9623282,177942564.18
2020-06-23,'300743,天地数码,17.33,17.33,16.0,16.0,15.75,1.58,10.0317,2679031,45214579.73
2020-06-22,'300743,天地数码,15.75,16.11,15.75,16.02,16.07,-0.32,-1.9913,894837,14217392.98
2020-06-19,'300743,天地数码,16.07,16.25,16.03,16.25,16.05,0.02,0.1246,826853,13311593.8
2020-06-18,'300743,天地数码,16.05,16.32,16.01,16.25,16.24,-0.19,-1.17,1015150,16350600.5
2020-06-17,'300743,天地数码,16.24,16.29,15.87,16.0,15.99,0.25,1.5635,1419850,22905564.1
2020-06-16,'300743,天地数码,15.99,16.06,15.8,15.85,15.76,0.23,1.4594,1038500,16551100.0
2020-06-15,'300743,天地数码,15.76,15.79,15.5,15.58,15.61,0.15,0.9609,843966,13242089.82
2020-06-12,'300743,天地数码,15.61,15.64,15.42,15.59,15.76,-0.15,-0.9518,708420,11000324.2
2020-06-11,'300743,天地数码,15.76,15.9,15.6,15.71,15.65,0.11,0.7029,828700,13056126.5
2020-06-10,'300743,天地数码,15.65,15.67,15.5,15.6,15.6,0.05,0.3205,527552,8223050.52
2020-06-09,'300743,天地数码,15.6,15.65,15.43,15.44,15.5,0.1,0.6452,610824,9498260.18
2020-06-08,'300743,天地数码,15.5,15.72,15.44,15.56,15.56,-0.06,-0.3856,622020,9688063.0
2020-06-05,'300743,天地数码,15.56,15.75,15.38,15.66,15.65,-0.09,-0.5751,858562,13336460.34
2020-06-04,'300743,天地数码,15.65,15.81,15.55,15.59,15.59,0.06,0.3849,716700,11220255.22
2020-06-03,'300743,天地数码,15.59,16.32,15.57,15.99,16.09,-0.5,-3.1075,1494800,23646746.17
2020-06-02,'300743,天地数码,16.09,16.1,15.72,15.76,15.75,0.34,2.1587,1278950,20404133.76
2020-06-01,'300743,天地数码,15.75,15.84,15.51,15.52,15.52,0.23,1.482,1252878,19682781.34
2020-05-29,'300743,天地数码,15.52,16.0,15.49,15.96,15.77,-0.25,-1.5853,1323603,20722648.92
2020-05-28,'300743,天地数码,15.77,15.89,15.37,15.37,15.49,0.28,1.8076,2620028,41003015.52
2020-05-27,'300743,天地数码,15.49,15.5,15.15,15.4,15.4,0.09,0.5844,799046,12292110.66
2020-05-26,'300743,天地数码,15.4,15.44,15.12,15.16,15.15,0.25,1.6502,871615,13367146.05
2020-05-25,'300743,天地数码,15.15,15.47,14.98,15.06,15.1,0.05,0.3311,627000,9520870.0
2020-05-22,'300743,天地数码,15.1,15.19,14.85,15.16,15.13,-0.03,-0.1983,655800,9860882.5
2020-05-21,'300743,天地数码,15.13,15.27,14.95,15.27,15.14,-0.01,-0.0661,551650,8347240.86
2020-05-20,'300743,天地数码,15.14,15.6,15.05,15.3,15.38,-0.24,-1.5605,822600,12519338.5
2020-05-19,'300743,天地数码,15.38,15.96,14.95,14.98,14.82,0.56,3.7787,1560961,24019561.08
2020-05-18,'300743,天地数码,14.82,15.24,14.78,15.24,15.06,-0.24,-1.5936,755450,11265052.5
2020-05-15,'300743,天地数码,15.06,15.29,15.05,15.16,15.11,-0.05,-0.3309,552116,8373523.68
2020-05-14,'300743,天地数码,15.11,15.37,15.1,15.24,15.33,-0.22,-1.4351,513050,7784299.5
2020-05-13,'300743,天地数码,15.33,15.4,15.12,15.2,15.34,-0.01,-0.0652,483496,7386584.72
2020-05-12,'300743,天地数码,15.34,15.44,15.06,15.31,15.45,-0.11,-0.712,533250,8135916.0
2020-05-11,'300743,天地数码,15.45,15.67,15.12,15.51,15.45,0.0,0.0,703703,10860507.38
2020-05-08,'300743,天地数码,15.45,15.58,15.19,15.23,15.14,0.31,2.0476,877800,13550572.0
2020-05-07,'300743,天地数码,15.14,15.7,15.07,15.43,15.43,-0.29,-1.8795,858250,13139279.58
2020-05-06,'300743,天地数码,15.43,15.43,14.73,15.0,15.0,0.43,2.8667,823542,12550427.72
2020-04-30,'300743,天地数码,15.0,15.12,14.59,14.59,14.47,0.53,3.6628,980401,14630926.9
2020-04-29,'300743,天地数码,14.47,14.85,14.36,14.63,14.63,-0.16,-1.0936,842400,12283044.0
2020-04-28,'300743,天地数码,14.63,15.57,14.25,15.57,15.62,-0.99,-6.338,1264150,18732388.0
2020-04-27,'300743,天地数码,15.62,16.07,15.35,16.01,16.08,-0.46,-2.8607,1196050,18741522.5
2020-04-24,'300743,天地数码,16.08,16.35,16.0,16.32,16.31,-0.23,-1.4102,776850,12533361.5
2020-04-23,'300743,天地数码,16.31,16.59,16.31,16.5,16.5,-0.19,-1.1515,619600,10160739.0
2020-04-22,'300743,天地数码,16.5,16.6,16.16,16.33,16.31,0.19,1.1649,742200,12171235.0
2020-04-21,'300743,天地数码,16.31,16.55,16.13,16.5,16.53,-0.22,-1.3309,812502,13219752.48
2020-04-20,'300743,天地数码,16.53,16.6,16.11,16.43,16.45,0.08,0.4863,845700,13855840.5
2020-04-17,'300743,天地数码,16.45,16.65,16.33,16.4,16.27,0.18,1.1063,937054,15474091.74
2020-04-16,'300743,天地数码,16.27,16.37,15.98,16.37,16.33,-0.06,-0.3674,754850,12201446.0
2020-04-15,'300743,天地数码,16.33,16.66,16.22,16.55,16.55,-0.22,-1.3293,736150,12095321.0
2020-04-14,'300743,天地数码,16.55,16.58,16.28,16.35,16.24,0.31,1.9089,585704,9637654.82
2020-04-13,'300743,天地数码,16.24,16.57,16.22,16.57,16.56,-0.32,-1.9324,485996,7937836.8
2020-04-10,'300743,天地数码,16.56,17.2,16.38,17.2,17.35,-0.79,-4.5533,1270850,21239401.0
2020-04-09,'300743,天地数码,17.35,17.41,17.2,17.22,17.2,0.15,0.8721,817200,14129089.5
2020-04-08,'300743,天地数码,17.2,17.24,16.92,17.21,17.14,0.06,0.3501,694900,11904788.0
2020-04-07,'300743,天地数码,17.14,17.21,16.98,16.98,16.69,0.45,2.6962,902670,15436852.34
2020-04-03,'300743,天地数码,16.69,17.12,16.49,16.96,16.96,-0.27,-1.592,611906,10253394.26
2020-04-02,'300743,天地数码,16.96,17.0,16.4,16.4,16.61,0.35,2.1072,674450,11257918.0
2020-04-01,'300743,天地数码,16.61,17.02,16.61,16.68,16.8,-0.19,-1.131,597450,10037451.0
2020-03-31,'300743,天地数码,16.8,17.36,16.64,16.99,16.75,0.05,0.2985,577030,9745408.2
2020-03-30,'300743,天地数码,16.75,17.26,16.51,16.99,17.35,-0.6,-3.4582,816150,13699513.0
2020-03-27,'300743,天地数码,17.35,17.85,17.23,17.85,17.65,-0.3,-1.6997,763326,13411130.88
2020-03-26,'300743,天地数码,17.65,17.78,17.38,17.55,17.57,0.08,0.4553,968400,17055130.0
2020-03-25,'300743,天地数码,17.57,17.79,17.42,17.5,17.25,0.32,1.8551,1198004,21097752.22
