日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2020-07-22,'300742,越博动力,24.8,25.58,24.07,24.33,24.33,0.47,1.9318,4432500,110487901.0
2020-07-21,'300742,越博动力,24.33,24.88,23.94,24.61,24.28,0.05,0.2059,2255873,54923919.39
2020-07-20,'300742,越博动力,24.28,24.39,22.6,22.66,22.6,1.68,7.4336,3717508,88824285.16
2020-07-17,'300742,越博动力,22.6,23.33,22.22,22.98,22.95,-0.35,-1.5251,2250800,51124361.0
2020-07-16,'300742,越博动力,22.95,24.18,22.9,23.78,23.78,-0.83,-3.4903,2258631,53209643.15
2020-07-15,'300742,越博动力,23.78,24.95,23.67,24.9,24.73,-0.95,-3.8415,2679274,64865886.98
2020-07-14,'300742,越博动力,24.73,25.28,24.38,25.1,25.17,-0.44,-1.7481,3331800,82498621.0
2020-07-13,'300742,越博动力,25.17,25.18,24.38,24.49,24.28,0.89,3.6656,3771905,93668618.17
2020-07-10,'300742,越博动力,24.28,25.18,24.19,24.91,24.84,-0.56,-2.2544,3438531,84881663.79
2020-07-09,'300742,越博动力,24.84,24.98,24.08,24.15,24.35,0.49,2.0123,3533674,86694923.9
2020-07-08,'300742,越博动力,24.35,24.48,23.76,24.21,23.93,0.42,1.7551,2696200,65173606.26
2020-07-07,'300742,越博动力,23.93,25.6,23.32,23.41,23.3,0.63,2.7039,4491731,109111120.33
2020-07-06,'300742,越博动力,23.3,23.35,22.4,22.5,22.38,0.92,4.1108,2856800,65477681.0
2020-07-03,'300742,越博动力,22.38,22.47,22.02,22.41,22.15,0.23,1.0384,1940262,43202842.26
2020-07-02,'300742,越博动力,22.15,22.18,21.62,21.88,21.77,0.38,1.7455,1734600,38110049.0
2020-07-01,'300742,越博动力,21.77,22.37,21.66,22.1,22.16,-0.39,-1.7599,1857500,40699087.0
2020-06-30,'300742,越博动力,22.16,22.18,21.77,21.85,21.85,0.31,1.4188,1794500,39432019.0
2020-06-29,'300742,越博动力,21.85,21.95,21.23,21.49,21.42,0.43,2.0075,1615367,35141446.93
2020-06-24,'300742,越博动力,21.42,21.78,21.33,21.78,21.72,-0.3,-1.3812,1055000,22653243.0
2020-06-23,'300742,越博动力,21.72,22.03,21.6,22.0,21.86,-0.14,-0.6404,981300,21318159.0
2020-06-22,'300742,越博动力,21.86,22.2,21.62,21.7,21.56,0.3,1.3915,1623900,35571788.0
2020-06-19,'300742,越博动力,21.56,21.71,21.44,21.5,21.39,0.17,0.7948,912401,19692219.56
2020-06-18,'300742,越博动力,21.39,21.68,21.36,21.61,21.59,-0.2,-0.9264,1065100,22850636.99
2020-06-17,'300742,越博动力,21.59,21.89,21.38,21.8,21.64,-0.05,-0.2311,1326900,28660768.0
2020-06-16,'300742,越博动力,21.64,21.7,21.25,21.5,21.23,0.41,1.9312,1269900,27305495.0
2020-06-15,'300742,越博动力,21.23,21.83,21.1,21.59,21.67,-0.44,-2.0305,1324307,28395459.8
2020-06-12,'300742,越博动力,21.67,21.8,21.05,21.11,21.61,0.06,0.2776,1674500,35791689.0
2020-06-11,'300742,越博动力,21.61,22.14,21.55,21.73,21.72,-0.11,-0.5064,1986500,43342326.99
2020-06-10,'300742,越博动力,21.72,22.42,21.6,22.22,22.19,-0.47,-2.1181,1504100,32804717.0
2020-06-09,'300742,越博动力,22.19,22.55,21.56,21.56,21.55,0.64,2.9698,2339845,51928440.2
2020-06-08,'300742,越博动力,21.55,22.32,21.51,22.15,22.0,-0.45,-2.0455,1600400,34871581.0
2020-06-05,'300742,越博动力,22.0,22.4,21.89,22.09,22.44,-0.44,-1.9608,1521876,33562717.91
2020-06-04,'300742,越博动力,22.44,22.94,21.93,22.01,21.91,0.53,2.419,2057930,46104685.2
2020-06-03,'300742,越博动力,21.91,22.27,21.9,22.0,22.08,-0.17,-0.7699,1554200,34314870.0
2020-06-02,'300742,越博动力,22.08,22.19,21.72,22.08,21.87,0.21,0.9602,1451531,31809951.38
2020-06-01,'300742,越博动力,21.87,22.04,21.05,21.3,21.05,0.82,3.8955,1498000,32504763.0
2020-05-29,'300742,越博动力,21.05,21.65,21.0,21.35,21.46,-0.41,-1.9105,1414400,30117029.0
