序号,标准编号,标准名称,代替标准号,发布日期,实施日期
1,JB/T 13517-2018,V型球阀,,2018-07-04,2019-05-01
2,JB/T 13518-2018,高压加热器用三通阀,,2018-07-04,2019-05-01
3,JB/T 13519-2018,气动摩擦片浮动式制动器,,2018-07-04,2019-05-01
4,JB/T 13520-2018,气动摩擦片浮动式离合器,,2018-07-04,2019-05-01
5,JB/T 13521-2018,热连轧地下卷取机 技术条件,,2018-07-04,2019-05-01
6,JB/T 13522-2018,热连轧机精轧机组主传动减速机,,2018-07-04,2019-05-01
7,JB/T 13523-2018,热连轧机卷取机主传动减速机,,2018-07-04,2019-05-01
8,JB/T 13524-2018,热连轧机组粗轧机压下减速机,,2018-07-04,2019-05-01
9,JB/T 13525-2018,热轧用矫直机齿轮箱,,2018-07-04,2019-05-01
10,JB/T 13526.1-2018,热连轧二辊粗轧机 第1部分：性能参数,,2018-07-04,2019-05-01
11,JB/T 13526.2-2018,热连轧二辊粗轧机 第2部分：通用技术条件,,2018-07-04,2019-05-01
12,JB/T 13527.1-2018,热连轧四辊粗轧机 第1部分：性能参数,,2018-07-04,2019-05-01
13,JB/T 13527.2-2018,热连轧四辊粗轧机 第2部分：通用技术条件,,2018-07-04,2019-05-01
14,JB/T 13528.1-2018,热连轧粗轧立辊轧机 第1部分：性能参数,,2018-07-04,2019-05-01
15,JB/T 13528.2-2018,热连轧粗轧立辊轧机 第2部分：通用技术条件,,2018-07-04,2019-05-01
16,JB/T 13529.1-2018,宽厚板精轧机 第1部分：性能参数,,2018-07-04,2019-05-01
17,JB/T 13529.2-2018,宽厚板精轧机 第2部分：通用技术条件,,2018-07-04,2019-05-01
18,JB/T 13530-2018,宽厚板热矫直机 技术条件,,2018-07-04,2019-05-01
19,JB/T 13531-2018,冷连轧机组 快速换辊机 通用技术要求,,2018-07-04,2019-05-01
20,JB/T 13532-2018,冷连轧机组 双卷筒转盘式卷取机 通用技术要求,,2018-07-04,2019-05-01
21,JB/T 13533-2018,单动闭式多连杆四点伺服机械压力机 精度,,2018-07-04,2019-05-01
22,JB/T 13534-2018,重型闭式单动机械压力机,,2018-07-04,2019-05-01
23,JB/T 6538-2018,往复式增压泵,JB/T 6538-2008,2018-07-04,2019-05-01
24,JB/T 10459-2018,滑片泵,JB/T 10459-2004,2018-07-04,2019-05-01
25,JB/T 13535-2018,电磁屏蔽 吸波片,,2018-07-04,2019-05-01
26,JB/T 13536-2018,电磁屏蔽吸波材料磁导率测试方法,,2018-07-04,2019-05-01
27,JB/T 13537-2018,电磁屏蔽用导电粉体体积电阻率测试方法,,2018-07-04,2019-05-01
28,JB/T 13538-2018,电磁屏蔽用镀金属层导电粉体,,2018-07-04,2019-05-01
29,JB/T 13539-2018,敞开式光栅传感器,,2018-07-04,2019-05-01
30,JB/T 13540-2018,磁性角度编码器,,2018-07-04,2019-05-01
31,JB/T 13541-2018,磁性旋转编码器,,2018-07-04,2019-05-01
